fiscal_year,expenditure_table,page,code,parent_code,level,printed_name,schema_name,BE_prior,RE_prior,BE_current
2026-27,dev_revenue,22,011,01,2,Executive & Legislative Organs,"Executive & Legislative Organs, Financial & Fiscal Affairs, External Affairs",10481,17830,13846
2026-27,dev_revenue,22,014,01,2,Transfers,Transfers,331130,252384,294286
2026-27,dev_revenue,22,015,01,2,General Services,General Services,29260,26749,36982
2026-27,dev_revenue,22,016,01,2,Basic Research,Basic Research,19670,15708,22198
2026-27,dev_revenue,22,017,01,2,Research & Dev. General Public,Research & Dev. General Public Services,921,463,160
2026-27,dev_revenue,22,019,01,2,General Public Services not,Gen. Public Services not elsewhere defined,377,291,333
2026-27,dev_revenue,22,02,,1,Defence Affairs and Services,Defence Affairs and Services,2720,2668,2961
2026-27,dev_revenue,22,021,02,2,Military Defence,Defence Services,556,865,387
2026-27,dev_revenue,22,024,02,2,R & D Defence,Survey of Pakistan,248,246,1054
2026-27,dev_revenue,22,025,02,2,Defence Administration,Defence Administration,1916,1557,1520
2026-27,dev_revenue,22,03,,1,Public Order and Safety Affairs,Public Order and Safety Affairs,2921,2103,5743
2026-27,dev_revenue,22,031,03,2,Law Courts,Law Courts,1912,1583,2403
2026-27,dev_revenue,22,032,03,2,Police and Civil Armed Forces,Police,986,497,3340
2026-27,dev_revenue,22,036,03,2,Administration of Public Order,Administration of Public Order,23,23,0
2026-27,dev_revenue,22,04,,1,Economic Affairs,Economic Affairs,105611,104589,79382
2026-27,dev_revenue,22,041,04,2,Gen. Eco. Commercial and Labour,"Gen. Eco., Commercial & Labour Affairs",4058,1064,2563
2026-27,dev_revenue,22,042,04,2,"A gri,, Food, Irrigation, Forestry &","Agri., Food, Irrigation, Forestry & Fishing",72162,69779,49629
2026-27,dev_revenue,22,043,04,2,Fuel and Energy,Fuel and Energy,7009,13367,8451
2026-27,dev_revenue,22,044,04,2,Mining and Manufacturing,Mining and Manufacturing,1105,420,761
2026-27,dev_revenue,22,045,04,2,Construction and Transport,Construction and Transport,20325,17794,16965
2026-27,dev_revenue,22,046,04,2,Communications,Communications,814,2066,449
2026-27,dev_revenue,22,048,04,2,Research & Development Economic,R&D and Other Expenditure Economic Affairs (Housing & Works),138,99,564
2026-27,dev_revenue,22,05,,1,Environment Protection,Environment Protection,2784,2292,2478
2026-27,dev_revenue,22,055,05,2,Administration of Environment Protection,Administration of Environment Protection Affairs,2784,2292,2478
2026-27,dev_revenue,22,06,,1,Housing and Community Amenities,Housing and Community Amenities,7977,6596,14189
2026-27,dev_revenue,22,062,06,2,Community Development,Community Development,7971,6590,14189
2026-27,dev_revenue,22,063,06,2,Water Supply,Water Supply,6,6,0
2026-27,dev_revenue,23,07,,1,Health,Health,15102,13691,18217
2026-27,dev_revenue,23,073,07,2,Hospital Services,Hospital Services,6107,6273,8690
2026-27,dev_revenue,23,074,07,2,Public Health Services,Public Health Services,8700,7138,5962
2026-27,dev_revenue,23,076,07,2,Health Administration,Health Administration,295,280,3565
2026-27,dev_revenue,23,08,,1,"Recreation, Culture and Religion","Recreation, Culture and Religion",3697,2479,2822
2026-27,dev_revenue,23,081,08,2,Recreation and Sporting Services,Recreation and Sporting Services,1180,1180,1851
2026-27,dev_revenue,23,082,08,2,Cultural Services,Cultural Services,250,0,0
2026-27,dev_revenue,23,083,08,2,Broadcasting and Publishing,Broadcasting and Publishing,1616,1249,659
2026-27,dev_revenue,23,084,08,2,Religious Affairs,Religious Affairs,650,50,312
2026-27,dev_revenue,23,09,,1,Education Affairs and Services,Education Affairs and Services,55824,52639,76381
2026-27,dev_revenue,23,093,09,2,Tertiary Edu. Affairs & Services,Tertiary Education Affairs and Services,52175,50638,72059
2026-27,dev_revenue,23,095,09,2,Subsidiary Services to Education,Subsidiary Services to Education,650,362,722
2026-27,dev_revenue,23,096,09,2,Administration,Administration of Education,750,0,0
2026-27,dev_revenue,23,097,09,2,Education Affairs & Services not,Education Affairs & Services not Elsewhere Classified,2249,1639,3600
2026-27,dev_revenue,23,10,,1,Social Protection,Social Protection,2300,574,5317
2026-27,dev_revenue,23,107,10,2,Administration,Administration,2300,574,5317
2026-27,dev_capital,24,01,,1,General Public Service,General Public Services,1163036,1131537,1006723
2026-27,dev_capital,24,014,01,2,Transfers,Transfers,1162275,1130776,1005388
2026-27,dev_capital,24,017,01,2,Research and Dev. General Public,Research & Dev. General Public Services,761,761,1335
2026-27,dev_capital,24,04,,1,Economic Affairs,Economic Affairs,21144,24268,25290
2026-27,dev_capital,24,041,04,2,"Gen. Eco., Commercial and Labour","Gen. Eco., Commercial & Labour Affairs",719,368,312
2026-27,dev_capital,24,043,04,2,Fuel and Energy,Fuel and Energy,0,244,0
2026-27,dev_capital,24,044,04,2,Mining and Manufacturing,Mining and Manufacturing,1904,1714,6658
2026-27,dev_capital,24,045,04,2,Construction and Transport,Construction and Transport,17280,21309,17821
2026-27,dev_capital,24,046,04,2,Communications,Communications,1241,632,500
