code,parent_code,level,name,expenditure_tables,first_year,last_year,2026-27_cur_rev_BE_prior,2026-27_cur_rev_RE_prior,2026-27_cur_rev_BE_current,2026-27_cur_cap_BE_prior,2026-27_cur_cap_RE_prior,2026-27_cur_cap_BE_current,2026-27_dev_rev_BE_prior,2026-27_dev_rev_RE_prior,2026-27_dev_rev_BE_current,2026-27_dev_cap_BE_prior,2026-27_dev_cap_RE_prior,2026-27_dev_cap_BE_current
062,06,2,Community Development,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,17661,12431,18427,0,0,0,7971,6590,14189,0,0,0
063,06,2,Water Supply,dev_capital; dev_revenue,2010-11,2025-26,0,0,0,0,0,0,6,6,0,0,0,0
071,07,2,"Medical Products, Appliances and Equipment",current_revenue; dev_capital,2010-11,2023-24,32,33,38,0,0,0,0,0,0,0,0,0
072,07,2,Out-Patient Services,dev_capital; dev_revenue,2010-11,2020-21,0,0,0,0,0,0,0,0,0,0,0,0
073,07,2,Hospital Services,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,24035,24547,28779,0,0,0,6107,6273,8690,0,0,0
074,07,2,Public Health Services,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,1139,30813,1204,0,0,0,8700,7138,5962,0,0,0
075,07,2,R&D Health,current_revenue; dev_capital; dev_revenue,2010-11,2021-22,0,0,0,0,0,0,0,0,0,0,0,0
076,07,2,Health Administration,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,6768,4851,7417,0,0,0,295,280,3565,0,0,0
081,08,2,Recreation and Sporting Services,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,0,70,0,0,0,0,1180,1180,1851,0,0,0
082,08,2,Cultural Services,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,1503,1473,1591,0,0,0,250,0,0,0,0,0
083,08,2,Broadcasting and Publishing,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,16488,31074,17673,0,0,0,1616,1249,659,0,0,0
084,08,2,Religious Affairs,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,2094,2029,2204,0,0,0,650,50,312,0,0,0
086,08,2,"Admn. of Information, Recreation & Culture",current_revenue; dev_capital,2010-11,2024-25,2074,1671,2328,0,0,0,0,0,0,0,0,0
091,09,2,Pre-Primary and Primary Education Affairs and Services,current_revenue; dev_capital; dev_revenue,2010-11,2023-24,5841,5904,6275,0,0,0,0,0,0,0,0,0
092,09,2,Secondary Education Affairs and Services,current_revenue; dev_capital; dev_revenue,2010-11,2024-25,14420,14704,16015,0,0,0,0,0,0,0,0,0
093,09,2,Tertiary Education Affairs and Services,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,82012,83569,84462,0,0,0,52175,50638,72059,0,0,0
094,09,2,Education Services not Definable by Level,current_revenue; dev_capital,2010-11,2024-25,3738,4014,3878,0,0,0,0,0,0,0,0,0
095,09,2,Subsidiary Services to Education,current_revenue; dev_capital; dev_revenue,2010-11,2024-25,392,406,410,0,0,0,650,362,722,0,0,0
096,09,2,Administration of Education,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,4825,4457,5224,0,0,0,750,0,0,0,0,0
097,09,2,Education Affairs & Services not Elsewhere Classified,current_revenue; dev_capital; dev_revenue,2010-11,2023-24,1455,55973,1484,0,0,0,2249,1639,3600,0,0,0
100,10,2,Frontier Regions,dev_capital,2010-11,2022-23,0,0,0,0,0,0,0,0,0,0,0,0
101,10,2,Federally Administered Tribal Areas,dev_capital,2010-11,2022-23,0,0,0,0,0,0,0,0,0,0,0,0
102,10,2,Maintenance Allowances to Ex-Rulers,dev_capital,2011-12,2024-25,0,0,0,0,0,0,0,0,0,0,0,0
103,10,2,Afghan Refugees,dev_capital,2010-11,2022-23,0,0,0,0,0,0,0,0,0,0,0,0
107,10,2,Administration,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,5890,9555,4975,0,0,0,2300,574,5317,0,0,0
108,10,2,Others,current_revenue; dev_capital; dev_revenue,2010-11,2025-26,1303,1643,2556,0,0,0,0,0,0,0,0,0
109,10,2,Social Protection (Not elsewhere classified),current_revenue; dev_capital; dev_revenue,2010-11,2025-26,726994,717532,849477,0,0,0,0,0,0,0,0,0
